Risk Factor Pathway,Sector,Model,Scenario,Geography,Units,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,10872253.07,0,0,0,0
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,1537227.178,19806374.69,39721893.01,31396703.04,28490952.43,28648528.64
Direct emissions cost,Gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,352408.9669,704817.9339,0,95387610.49,106930445.4,32730092.14,71866506.27,9869269.702,43034467.48,59818491.33
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,1224198482,2448396964,71201906182,-15098810529,-160222758127,-412551369417,-709690038706,-988202956692,-1279103596389,-1641357474243
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,313466986.7,626933973.5,41466578003,1361806440,-40880334561,-102706067053,-160352681621,-211443804029,-270981961206,-327757731365
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,32955096.12,65910192.24,8396284960,516533755.4,-18949940268,-74057652900,-146638604577,-219483451569,-286880636524,-353275892195
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,8924005.22,17848010.44,1183216093,-8346581943,-38869208564,-84762956229,-147201232526,-193342238477,-226275669073,-293397145861
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,20618251.58,41236503.16,3685929846,746390238.2,-780332411.4,-6094937573,-16565000363,-29867449428,-54996235563,-101433899328
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,763839164.4,1527678329,16469895362,-9376959019,-60742939779,-144929768090,-238932614598,-334065974538,-439969427358,-565493178975
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,0,1224198482,2448396964,2866391509,4657142948,7450427644,11737340969,16883855604,23771973010,30239600826,37672044279
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,312244504.5,624489009,857177923.7,1996107691,3604062428,5779002503,8317251398,11917236583,15334931963,19293632099
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,32955096.12,65910192.24,105170198.4,360866691.9,966782914,2186187137,3937071357,6358526457,9152628890,12427346749
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,8924005.22,17848010.44,23306662.18,91271265.67,315179004.5,840480699.8,1577994606,2409794662,3001216774,3268703840
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,0,20618251.58,41236503.16,53404902.17,158952371.8,319663263.8,500901863.9,640193504.9,731529404.5,791218273.1,906485811.9
Direct emissions cost,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,762975306.4,1525950613,1600232421,1730467329,1807831077,1896358295,1888994863,1927519529,1720677691,1775872087
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,137466481,274932961.9,56799940309,22666140852,-72759394674,-342753242018,-752707770338,-1372179050606,-2445548326698,-4402722288269
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,6771186.419,13542372.84,19586350498,6068167456,-29242950275,-81887473700,-172612675101,-311270182551,-562581521299,-978319499789
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,8709648.257,17419296.51,11133118612,8212124520,-7302448404,-57217776147,-124711569543,-207812001428,-363691799001,-743464421691
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,2143940080,978736829.6,-14466545890,-119592119603,-250984573523,-458829061348,-804048052465,-1401040820011
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,4099842865,1435639311,-1463380556,-4231211869,-16715492645,-35135052103,-66379512397,-124659406005
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,901911.5426,1803823.085,18657649427,4664625852,-21311710768,-80367233734,-187822164679,-359164740886,-648847555147,-1155238251575
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,137466481,274932961.9,820945811.5,1571516210,1960998514,769908009.7,1806781262,1559213827,1698901875,2362972299
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,6771186.419,13542372.84,0,31726434.39,7442244.196,0,17888022.46,37481740.56,23039677.43,212918534.8
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,8709648.257,17419296.51,55202886.66,26833527.08,0,7791403.637,98059051.78,0,0,0
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,27825088.05,0,0,0,0
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,3934187.451,50689964.29,101659257.2,80352804.65,72916189.04,73319469.93
Direct emissions cost,Oil,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,901911.5426,1803823.085,0,244123149.5,273664441.1,83765314.34,183926169.9,25258177.56,110137047,153091983.6
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,1702536437,3405072873,99023027230,-20998453641,-222827497066,-573749885055,-986991216895,-1374329052924,-1778894934804,-2282694306681
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,435949704.6,871899409.1,57669047121,1893912725,-56853737484,-142836985972,-223008186298,-294062430161,-376864266173,-455824352159
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,45831826.08,91663652.16,11677012581,718361893.2,-26354356951,-102994615916,-203935530839,-305243454378,-398975120270,-491313367415
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,12410931.94,24821863.89,1645540768,-11607888824,-54056792921,-117882862592,-204717997570,-268887938148,-314689633209,-408037861931
