year,value,category,variable,model,scenario,region,unit
2020,317449104000.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2040,8427567330.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2060,8724371240.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2080,6145939500.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2100,5314530000.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2020,237779774690.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2040,3409427520.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2060,3028082020.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2080,2560096940.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2100,2567618160.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2020,16540311540.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2040,520232340.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2060,380461760.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2080,612267010.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2100,865769320.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2020,2904322720.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2040,476817600.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2060,474280800.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2080,360601190.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2100,318580080.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2020,2868851250.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2040,77076300.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2060,41972140.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2080,37504500.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2100,37517760.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2020,57359283080.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2040,3943948900.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2060,4800028420.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2080,2575357350.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2100,1525010740.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2020,854708974940.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2040,1597276672680.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2060,2120870292600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2080,2624088210720.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2100,3267675557700.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2020,266903254970.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2040,623329507520.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2060,782566230800.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2080,883595006260.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2100,1124107198280.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2020,98594047640.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2040,268542695600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2060,482530174990.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2080,736267279740.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2100,1032072017610.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2020,41985956160.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2040,87222781100.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2060,174434601600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2080,287880870060.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2100,356775313930.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2020,49939966560.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2040,70048016850.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
