year,value,model,scenario,region,variable
2040,-1.8714,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2040,2.6964,WITCH-GLOBIOM 4.4,NPi,World,Gas
2040,-0.5067,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2040,-0.5229,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2040,-0.8826,IMAGE 3.0.1,NPi2020_1000,World,Gas
2040,-2.1785,IMAGE 3.0.1,NPi2020_400,World,Gas
2040,1.5147,IMAGE 3.0.1,NPi,World,Gas
2040,0.8335,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2040,-2.5002,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2040,-2.423,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2040,1.2443,AIM/CGE 2.1,NPi,World,Oil
2040,2.5741,AIM/CGE 2.1,NPi2020_1000,World,Oil
2040,-5.8036,AIM/CGE 2.1,NPi2020_400,World,Oil
2040,1.312,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2040,-4.82,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2040,-5.0207,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2040,2.6941,WITCH-GLOBIOM 4.4,NPi,World,Oil
2040,-2.3098,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2040,-3.4854,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2040,-1.1881,IMAGE 3.0.1,NPi2020_1000,World,Oil
2040,-3.1582,IMAGE 3.0.1,NPi2020_400,World,Oil
2040,1.9184,IMAGE 3.0.1,NPi,World,Oil
2040,-2.3247,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2040,-3.0279,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2040,-4.1644,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2050,2.4487,AIM/CGE 2.1,NPi,World,Coal
2050,0.1685,AIM/CGE 2.1,NPi2020_1000,World,Coal
2050,-0.1738,AIM/CGE 2.1,NPi2020_400,World,Coal
