year,value,model,scenario,region,variable
2030,-29.0214,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2040,8.590879,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2040,-13.2754,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2040,-22.1316,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2050,-5.36132,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2050,-26.3564,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2050,-13.3869,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2060,-23.1855,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2060,-27.1551,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2060,-4.57778,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2070,-5.25206,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2070,-22.4668,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2070,-1.50051,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2080,-2.09437,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2080,-7.91174,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2080,-0.41215,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2090,-0.00953,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2090,-2.32039,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2090,-0.01014,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2010,6.145491,WITCH-GLOBIOM 4.4,NPi,World,Coal
2010,10.5234,WITCH-GLOBIOM 4.4,NPi,World,Gas
2010,15.35826,WITCH-GLOBIOM 4.4,NPi,World,Oil
2020,28.89364,WITCH-GLOBIOM 4.4,NPi,World,Coal
2020,25.08103,WITCH-GLOBIOM 4.4,NPi,World,Gas
2020,17.76398,WITCH-GLOBIOM 4.4,NPi,World,Oil
2030,23.57628,WITCH-GLOBIOM 4.4,NPi,World,Coal
2030,18.95536,WITCH-GLOBIOM 4.4,NPi,World,Gas
2030,13.22537,WITCH-GLOBIOM 4.4,NPi,World,Oil
2040,16.46638,WITCH-GLOBIOM 4.4,NPi,World,Coal
2040,17.50265,WITCH-GLOBIOM 4.4,NPi,World,Gas
2040,11.23848,WITCH-GLOBIOM 4.4,NPi,World,Oil
2050,8.567654,WITCH-GLOBIOM 4.4,NPi,World,Coal
2050,17.43255,WITCH-GLOBIOM 4.4,NPi,World,Gas
